,current_fungi_name,common_name,foray_date,foray_location,month,year,day,genus,species
5525,Coryne atrovirens,,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Coryne,atrovirens
5526,Leotia lubrica,Jellybaby ,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Leotia,lubrica
5527,Leotia viscosa,,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Leotia,viscosa
5528,Daldinia concentrica,Carbon Balls ,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Daldinia,concentrica
5529,Xylaria hypoxylon,Candlesnuff fungus ,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Xylaria,hypoxylon
5530,Xylaria polymorpha,Dead man's fingers ,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Xylaria,polymorpha
5531,Humaria hemisphaerica,,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Humaria,hemisphaerica
5532,Sarcoscypha occidentalis,Stalked Scarlet Cup ,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Sarcoscypha,occidentalis
5533,Auricularia auricula-judae,Jelly ear,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Auricularia,auricula-judae
5534,Calocera cornea,Club-like tuning fork ,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Calocera,cornea
5535,Dacryopinax spathularia,Fan shaped jelly ,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Dacryopinax,spathularia
5536,Exidia glandulosa,Black Jelly Roll ,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Exidia,glandulosa
5537,Sebacina incrustans,Enveloping crust ,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Sebacina,incrustans
5538,Tremella fuciformis,Silver ear ,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Tremella,fuciformis
5539,Sebacina pallida,,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Sebacina,pallida
5540,Fuligo septica,Dog Vomit Slime Mold ,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Fuligo,septica
5541,Cantharellus cibarius,Chanterelle ,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Cantharellus,cibarius
5542,Cantharellus cinnabarinus,Cinnabar chanterelle ,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Cantharellus,cinnabarinus
5543,Cantharellus lateritius,Smooth Chanterelle ,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Cantharellus,lateritius
5544,Cantharellus minor,Small Chanterelle ,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Cantharellus,minor
5545,Craterellus cornucopioides,,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Craterellus,cornucopioides
5546,Craterellus foetidus,,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Craterellus,foetidus
5547,Pseudocraterellus calyculus,,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Pseudocraterellus,calyculus
5548,Coltricia cinnamomea,Shiny cinnamon polypore ,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Coltricia,cinnamomea
5549,Hydnochaete olivaceum,,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Hydnochaete,olivaceum
5550,Phellinus everhartii,,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Phellinus,everhartii
5551,Phellinus gilvus,Mustard Yellow Polypore ,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Phellinus,gilvus
5552,Mutinus elegans,Devil's dipstick ,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Mutinus,elegans
5553,Ramaria stricta,,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Ramaria,stricta
5554,Spongipellis unicolor,,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Spongipellis,unicolor
5555,Cerrena unicolor,Mossy Maze Polypore ,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Cerrena,unicolor
5556,Polyporus arcularius,,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Polyporus,arcularius
5557,Pycnoporus sanguineus,Blood red bracket ,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Pycnoporus,sanguineus
5558,Pycnoporus cinnabarinus,,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Pycnoporus,cinnabarinus
5559,Trametes versicolor,Turkeytail ,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Trametes,versicolor
5560,Trametes hirsuta,Hairy bracket ,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Trametes,hirsuta
5561,Trametes menziesii,,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Trametes,menziesii
5562,Trichaptum birforme,,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Trichaptum,birforme
5563,Mycorrhaphium adustum,Kidney-shaped Tooth ,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Mycorrhaphium,adustum
5564,Thelephora terrestris var. concrescens,,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Thelephora,terrestris
5565,Artomyces pyxidatus,Crown-tipped Coral,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Artomyces,pyxidatus
5566,Stereum complicatum,Crowded parchment ,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Stereum,complicatum
5567,Stereum ostrea,False turkeytail ,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Stereum,ostrea
5568,Stereum hirsutum,Hairy curtain crust ,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Stereum,hirsutum
5569,Agaricus auricolor,,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Agaricus,auricolor
5570,Psathyrella candolleana,Pale brittlestem ,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Psathyrella,candolleana
5571,Coprinellus radians,,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Coprinellus,radians
5572,Cortinarius distans,,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Cortinarius,distans
